"Invoice Date","Invoice Number","Value of Purchase","ref number","status","payemnt dates"
"01-01-2024","1","100000","IN01515/IN01518","settled","05-01-2024/05-06-2024"
"02-05-2024","2","100000","IN01518/IN01520","settled","05-06-2024/05-09-2024"
"03-05-2024","3","20000","INO3321","settled","06-09-2024"
"04-05-2024","4","30000","INO3321","settled","06-09-2024"
"05-05-2024","5","3000","INO3321","settled","06-09-2024"
"06-05-2024","6","4000","INO3321","settled","06-09-2024"
"07-05-2024","7","90000","INO3321/INOQEWW/INFWWWQEQW","settled","06-09-2024/07-09-2024/08-09-2024"
"08-05-2024","8","50000","INOQEWW","settled","07-09-2024"
"09-05-2024","9","100000","no ref num","not settled","no date"
"10-05-2024","10","1000","INOQEWW","settled","07-09-2024"
